"topic_id";"forum_id";"topic_title";"topic_poster";"topic_time";"topic_views";"topic_replies";"topic_status";"topic_vote";"topic_type";"topic_first_post_id";"topic_last_post_id";"topic_moved_id"
210;1;"9 МАЯ                                                       ";5;1147156439;339;0;0;0;0;4732;4732;0
198;1;Как придумываются жесты для таких ЖИВЫХ КУКОЛ               ;5;1146849498;649;5;0;0;0;4518;4633;0
199;1;Открытое письмо директору Театра Кукол                      ;3;1146864818;3542;32;0;0;0;4545;5075;0
200;1;БЛАГОДАРНОСТЬ :)                                            ;68;1146914188;414;1;0;0;0;4587;7478;0
201;1;Почему Царицу Ночи и Кармен не поют женщины?                ;58;1146942194;699;5;0;0;0;4598;7429;0
202;1;"&quot;Метаморфозы&quot; спектаклей                          ";13;1146957036;540;3;0;0;0;4608;5003;0
203;7;Всем артистам: Один и с куклой)))                           ;58;1147029439;416;2;0;0;0;4625;7512;0
204;7;Для Ирины Яковлевой. Мама на сцене                          ;5;1147034527;374;2;0;0;0;4631;4642;0
205;7;Всем артистам. Легче или труднее играть для СВОИХ...        ;5;1147084470;287;0;0;0;0;4656;4656;0
206;7;ВСЕМ АРТИСТАМ!!!!! Крылатое Сердце...                       ;5;1147085195;337;1;0;0;0;4659;4664;0
207;7;Роль Ирины Яковлевой в 'Дозоре'                             ;2;1147086534;661;7;0;0;0;4666;7569;0
208;9;Татьяна Рева: Ваш выход, художник!                          ;3;1147087689;562;5;0;0;0;4671;5244;0
209;1;Какой спектакль дороже?                                     ;9;1147092423;311;0;0;0;0;4676;4676;0
212;1;Бернард Шоу о женщинах                                      ;71;1147178622;1849;17;0;0;0;4737;5554;0
213;1;Из Станиславского...                                        ;3;1147193474;708;6;0;0;0;4745;5698;0
214;4;Театр умер... или куда лучше не ходить                      ;2;1147262561;281;13;0;0;0;2435;7535;0
309;7;Ирине Осинцовой: какая роль Вам снится?                     ;3;1148980012;314;3;0;0;0;7020;7082;0
216;7;Вопрос ко всем: любите ли вы театр?                         ;3;1147293130;483;4;0;0;0;4825;4877;0
217;7;Ирине Осинцовой: прекрасная новость для нашей гостиной!     ;3;1147374483;490;3;0;0;0;4878;5015;0
218;5;Дорогие студенты, поделитесь впечатлениями!                 ;25;1147374630;723;24;0;0;0;4879;6201;0
219;7;Ирине Яковлевой: что было до театра?                        ;8;1147375284;350;1;0;0;0;4882;4919;0
220;7;АКТЁРСКИЕ БАЙКИ                                             ;5;1147446989;312;0;0;0;0;4927;4927;0
344;1;В ожидании отпуска...                                       ;5;1149866057;399;4;0;0;0;7319;7340;0
222;1;Если персонаж - историческая личность?                      ;3;1147512419;414;2;0;0;0;5014;5032;0
223;7;Ирине Осинцовой: любимая роль                               ;5;1147529053;388;2;0;0;0;5018;5026;0
224;1;Вдохновение и муза                                          ;64;1147535750;391;1;0;0;0;5021;5029;0
225;5;Прозвища и псевдонимы                                       ;37;1147537654;178;7;0;0;0;5024;5172;0
226;9;Костюм и грим                                               ;3;1147545074;553;4;0;0;0;5034;5057;0
227;1;Какое значение Вы придаете интуиции?                        ;3;1147545401;309;0;0;0;0;5036;5036;0
